description_en	spell_ids	description_zh
Converts up to 10 rage per second into health for $d.  Each point of rage is converted into $s1 health.	22842,22895,22896,26999	
Infuses all party and raid members with brilliance, increasing their Intellect by $s1 for $d.	23028	
Increases movement speed by $s1% for $d.	23099,23109,23110,23145,23147,23148	
Summons a Dreadsteed, which serves as a mount for the caster.  Speed is increased by $s2%. This mount increases speed depending on your Riding Skill.	23161	
Summons a Charger, which serves as a mount.  Speed is increased by $s2%. This mount increases speed depending on your Riding Skill.	23214,34767	
Summons and dismisses a rideable Swift Mistsaber.   This mount increases speed depending on your Riding Skill.	23219	
Summons and dismisses a rideable Swift Dawnsaber.   This mount increases speed depending on your Riding Skill.	23220	
Summons and dismisses a rideable Swift Frostsaber.   This mount increases speed depending on your Riding Skill.	23221	
Summons and dismisses a Swift Yellow Mechanostrider.    This mount increases speed depending on your Riding Skill.	23222	
Summons and dismisses a Swift White Mechanostrider.    This mount increases speed depending on your Riding Skill.	23223	
Summons and dismisses a Swift Green Mechanostrider.    This mount increases speed depending on your Riding Skill.	23225	
Summons and dismisses a rideable Swift Palomino.   This mount increases speed depending on your Riding Skill.	23227	
Summons and dismisses a rideable Swift White Steed.   This mount increases speed depending on your Riding Skill.	23228	
Summons and dismisses a rideable Swift Brown Steed.   This mount increases speed depending on your Riding Skill.	23229	
Summons and dismisses a rideable Swift Brown Ram.   This mount increases speed depending on your Riding Skill.	23238	
Summons and dismisses a rideable Swift Gray Ram.   This mount increases speed depending on your Riding Skill.	23239	
Summons and dismisses a rideable Swift White Ram.   This mount increases speed depending on your Riding Skill.	23240	
Summons and dismisses a rideable Swift Blue Raptor.   This mount increases speed depending on your Riding Skill.	23241	
Summons and dismisses a rideable Swift Olive Raptor.   This mount increases speed depending on your Riding Skill.	23242	
Summons and dismisses a rideable Swift Orange Raptor.   This mount increases speed depending on your Riding Skill.	23243	
Summons and dismisses a rideable Purple Skeletal Warhorse.   This mount increases speed depending on your Riding Skill.	23246	
Summons and dismisses a rideable Great White Kodo.   This mount increases speed depending on your Riding Skill.	23247	
Summons and dismisses a rideable Great Gray Kodo.   This mount increases speed depending on your Riding Skill.	23248	
Summons and dismisses a rideable Great Brown Kodo.   This mount increases speed depending on your Riding Skill.	23249	
Summons and dismisses a rideable Swift Brown Wolf.   This mount increases speed depending on your Riding Skill.	23250	
Summons and dismisses a rideable Swift Timber Wolf.   This mount increases speed depending on your Riding Skill.	23251	
Summons and dismisses a rideable Swift Gray Wolf.   This mount increases speed depending on your Riding Skill.	23252	
Summons and dismisses a rideable Swift Stormsaber.   This mount increases speed depending on your Riding Skill.	23338	
Right Click to summon and dismiss your Snapjaw.	23428,23429,23430,23431,23432	
Causes an explosion of holy light around the caster, causing $15237s1 Holy damage to all enemy targets within $15237a1 yards and healing all party members within $23455a1 yards for $23455s1.  These effects cause no threat.	23455	
Causes an explosion of holy light around the caster, causing $15430s1 Holy damage to all enemy targets within $15430a1 yards and healing all party members within $23458a1 yards for $23458s1.  These effects cause no threat.	23458	
Causes an explosion of holy light around the caster, causing $15431s1 Holy damage to all enemy targets within $15431a1 yards and healing all party members within $23459a1 yards for $23459s1.  These effects cause no threat.	23459	
Summons and dismisses a rideable Frostwolf Howler.   This mount increases speed depending on your Riding Skill.	23509	
Summons and dismisses a rideable Stormpike Battle Charger.   This mount increases speed depending on your Riding Skill.	23510	
Right Click to summon and dismiss your tiny red dragon.	23530	
Right Click to summon and dismiss your tiny green dragon.	23531	
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23759s1%.\n\nVoidwalker - Reduces physical damage taken by $23760s1%.\n\nSuccubus - Increases all damage caused by $23761s1%.\n\nFelhunter - Increases all resistances by .2 per level.\n\nFelguard - Increases all damage caused by $35702s1% and all resistances by .1 per level.	23785	
Creates 1-3 Vials of Powerful Anti-Venom.	23787	
Summons a Stoneclaw Totem TEST.	23789	
Permanently enchant a melee weapon to increase Strength by 15.	23799	
Permanently enchant a melee weapon to increase Agility by 15.	23800	
Permanently enchant bracers to restore 5 mana every 5 seconds.	23801	
Permanently enchants bracers to increase the effects of your healing spells by 24 and your spell damage by 8.	23802	
Permanently enchant a melee weapon to increase Spirit by 20.	23803	
Permanently enchant a melee weapon to increase Intellect by 22.	23804	
Right Click to summon and dismiss your Jubling.	23811	
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23826s1%.\n\nVoidwalker - Reduces physical damage taken by $23841s1%.\n\nSuccubus - Increases all damage caused by $23833s1%.\n\nFelhunter - Increases all resistances by .4 per level.\n\nFelguard - Increases all damage caused by $35703s1% and all resistances by .2 per level.	23822	
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23827s1%.\n\nVoidwalker - Reduces physical damage taken by $23842s1%.\n\nSuccubus - Increases all damage caused by $23834s1%.\n\nFelhunter - Increases all resistances by .6 per level.\n\nFelguard - Increases all damage caused by $35704s1% and all resistances by .3 per level.	23823	
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23828s1%.\n\nVoidwalker - Reduces physical damage taken by $23843s1%.\n\nSuccubus - Increases all damage caused by $23835s1%.\n\nFelhunter - Increases all resistances by .8 per level.\n\nFelguard - Increases all damage caused by $35705s1% and all resistances by .4 per level.	23824	
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23829s1%.\n\nVoidwalker - Reduces physical damage taken by $23844s1%.\n\nSuccubus - Increases all damage caused by $23836s1%.\n\nFelhunter - Increases all resistances by 1 per level.\n\nFelguard - Increases all damage caused by $35706s1% and all resistances by .5 per level.	23825	
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $23885n successful melee attacks will restore $23880s1 health.  This effect lasts $23885d.  Damage is based on your attack power.	23881	
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $23886n successful melee attacks will restore $23889s1 health.  This effect lasts $23886d.  Damage is based on your attack power.	23892	
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $23887n successful melee attacks will restore $23890s1 health.  This effect lasts $23887d.  Damage is based on your attack power.	23893	
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $23888n successful melee attacks will restore $23891s1 health.  This effect lasts $23888d.  Damage is based on your attack power.	23894	
Raise your shield, reflecting the next spell cast on you.  Lasts $d.	23920	
Slam the target with your shield, causing $s2 damage, modified by your shield block value, and dispels $s1 magic effect on the target.  Also causes a high amount of threat to the target and threat based on your shield block value to enemies within $150086a1 yards.	23922,23923,23924,23925,25258	
When activated, this ability immediately finishes the cooldown on your other Hunter abilities.	23989	
A stinging shot that puts the target to sleep for $d.  Any damage will cancel the effect.  When the target wakes up, the Sting causes $24134o1 Nature damage over $24134d.  Only one Sting per Hunter can be active on the target at a time.	24132	
A stinging shot that puts the target to sleep for $d.  Any damage will cancel the effect.  When the target wakes up, the Sting causes $24135o1 Nature damage over $24135d.  Only one Sting per Hunter can be active on the target at a time.	24133	
Increases the damage from your Ambush and Garrote abilities by $s1% and gives you a $s2% chance to notice when players see through your Stealth.	24224,27095,27096,27097,27099	
Hurls a hammer that strikes an enemy for $s1 Holy damage.  Only usable on enemies that have 20% or less health.	24239,24274,24275,27180	
Summons and dismisses Bloodlord Mandokir's raptor.   This mount increases speed depending on your Riding Skill.	24242	
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 259-292 damage\n   2 points: 428-461 damage\n   3 points: 597-630 damage\n   4 points: 766-799 damage\n   5 points: 935-968 damage	24248	
Summons and dismisses High Priest Thekal's tiger.   This mount increases speed depending on your Riding Skill.	24252	
Increases all damage caused against Beasts, Giants and Dragonkin targets by $s1% and increases critical damage caused against Beasts, Giants and Dragonkin targets by an additional $s2%.	24293,24294,24295	
Command your pet to intimidate the target, causing a high amount of threat and stunning the target for $24394d. Lasts $19577d.	24394	
The caster is surrounded by $n globes of water, granting $s2 mana per 5 sec.  When a spell, melee or ranged attack hits the caster, $23575s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	24398	
Reduces the mana cost of your Mend Pet spell and gives the Mend Pet spell a chance of cleansing $24406s1 Curse, Disease, Magic or Poison effect from the pet each tick.	24406	
Blasts a single enemy for $s1 damage and lowers the melee attack power of all enemies in melee range by $s2.  Effect lasts $d.	24423,24577,24578,24579,27051	
Puts your pet in stealth mode, but slows its movement speed by $s2%. The first attack from stealth receives a $s3% bonus to damage.  Lasts until cancelled.	24450,24452,24453	
Inflicts $o2 Nature damage over $d. Effect can stack up to 5 times on a single target.	24583,24586,24587,24640,27060	
Party members within $a1 yards of the wolf receive an extra $s1 damage to their next Physical attack.  Lasts $d.	24597,24603,24604,24605	
Right Click to summon and dismiss Murky the baby murloc.	24696	
Breathes lightning, instantly dealing $s1 Nature damage to a single target.	24844,25008,25009,25010,25011,25012	
Shapeshift into Moonkin Form.  While in this form the armor contribution from items is increased by $24905s1%, attack power is increased by 150% of your level, all party and raid members within $24907a1 yards have their spell critical chance increased by $24907s1%, and your spell critical strike chance is increased by an additional 3%.  Melee attacks in this form have a chance on hit to regenerate mana based on attack power, and receiving damage has a chance to enrage you.  The Moonkin can only cast Balance and non-healing Restoration spells.\n\nThe act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.	24858	
Increases your movement speed by $24864s1% while outdoors in Cat Form and increases your chance to dodge while in Cat Form, Bear Form and Dire Bear Form by $s2%.	24866	
Increases spell critical chance by $s1%.	24907	
Reduces the mana cost of your Healing Touch and Tranquility spells by $s1%.	24968,24969,24970,24971,24972	
Right Click to summon and dismiss Lurky the baby murloc.	24988	
Right Click to summon and dismiss your Murki.	25018	
10 mana per second.\nAutomatically fires a shot at the nearest enemy tonk within $25032a1 yards every $t1 sec, dealing $25032s1 damage per shot.	25026	
10 mana per second.\nDeals $25029s1 damage every $t1 sec to all tonks in front of you within $25029a1 yards. Also slows movement to $25029s2% and deals $25029s3 damage per second for $25029d.	25027	
Silence all enemies within $a1 yards for $d and restores $s2 of your Energy.  Non-player victim spellcasting is also interrupted for $32747d.	25046	
Permanently enchant gloves to increase threat from all attacks and spells by 2%.	25072	
Permanently enchant gloves to increase shadow spell power by 20.	25073	
Permanently enchant gloves to increase Frost spell power by 20.	25074	
Permanently enchant gloves to increase fire spell power by 20.	25078	
Permanently enchant gloves to increase spell power by 16.	25079	
Permanently enchant gloves to increase Agility by 15.	25080	
Permanently enchant a cloak to increase fire resistance by 15.	25081	
Permanently enchant a cloak to increase nature resistance by 15.	25082	
Permanently enchant a cloak to increase stealth.	25083	
Permanently enchant a cloak to decrease threat from all attacks and spells by 2%.	25084	
Permanently enchant a cloak to increase dodge rating by 12.  Requires a level 35 or higher item.	25086	
Creates Minor Wizard Oil.	25124	
Creates Minor Mana Oil.	25125	
Creates Lesser Wizard Oil.	25126	
Creates Lesser Mana Oil.	25127	
Creates Wizard Oil.	25128	
Creates Brilliant Wizard Oil.	25129	
Creates Brilliant Mana Oil.	25130	
Transmutes a Heart of Fire into three Elemental Fires.	25146	
Right Click to summon and dismiss your disgusting oozeling.  Your oozeling has a disgusting aura about him and will significantly reduce your defenses while he is around.	25162	
Maims the enemy, causing $s1 damage and slowing the enemy's movement to $s2% of normal speed for $d.	25212	
Allows a jewelcrafter to make jewelry, up to to a maximum potential skill of 75.  Requires precious gems and metals gathered with the Mining skill.	25229	
Allows a jewelcrafter to make fantastic jewelry, up to a maximum potential skill of 150.	25230	
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $25252n successful melee attacks will restore $25253s1 health.  This effect lasts $25252d.  Damage is based on your attack power.	25251	
Charge an enemy, causing $25273s2 damage and stunning it for $25273d.	25272	
Charge an enemy, causing $25274s2 damage and stunning it for $25274d.	25275	
Backstab the target, causing $s2% weapon damage plus 225 to the target.  Must be behind the target.  Requires a dagger in the main hand.  Awards $s3 combo $lpoint:points;.	25300	
Holy power infuses the target, increasing their Spirit by $M1 for $d.	25312,48073	
Causes an explosion of holy light around the caster, causing $25331s1 Holy damage to all enemy targets within $25331a1 yards and healing all party members within $25329a1 yards for $25329s1.  These effects cause no threat.	25329	
Causes an explosion of holy light around the caster, causing $s1 Holy damage to all enemy targets within $a1 yards and healing all party members within $25329a1 yards for $25329s1.  These effects cause no threat.	25331	
Launches Arcane Missiles at the enemy, causing $25346s1 Arcane damage every $t2 sec for $d.	25345	
Launches Arcane Missiles at the enemy, causing $25346s1 Arcane damage every $25345t2 sec for $25345d.	25346	
Coats a weapon with poison that lasts for 1 hour.\nEach strike has a 30% chance of poisoning the enemy for ${$25349m1*4+0.12*$AP} Nature damage over $25349d.  Stacks up to 5 times on a single target.	25347	
Summons a Grace of Air Totem with $s1 health at the feet of the caster.  The totem increases the agility of party and raid members within $25360a1 yards by $25360s1.  Lasts $d.	25359	
Summons a Strength of Earth Totem with $s1 health at the feet of the caster.  The totem increases the strength of party and raid members within $25362a1 yards by $25362s1.  Lasts $d.	25361	
Assault the target's mind with Shadow energy, causing $o1 Shadow damage over $d and slowing the target to $s2% of their movement speed.	25387	
Power infuses the target increasing their Stamina by $s1 for $d.	25389,48161	
Power infuses the target's party, increasing their Stamina by $s1 for $d.	25392	
The priest becomes surrounded with anti-magic energy.  Any successful spell cast against the priest will burn $25440s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned.  Lasts $d.	25441	
Instantly shocks the target with frost, causing $s2 Frost damage and slowing movement speed to $s1% of normal.  Lasts $d.  Causes a high amount of threat.	25464	
The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26371s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	25469	
The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26372s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	25472	
Imbue the Shaman's weapon with fire.  Each hit causes $/77;25488m1 to $/25;25488M1 additional Fire damage, based on the speed of the weapon.  Slower weapons cause more fire damage per swing.  Lasts 30 minutes.	25489	
Imbue the Shaman's weapon with frost.  Each hit has a chance of causing $25501s2 additional Frost damage and slowing the target's movement speed by $25501s1% for $25501d.  Lasts 30 minutes.	25500	
Imbue the Shaman's weapon with wind.  Each hit has a 36% chance of dealing additional damage equal to two extra attacks with $33727s1 extra attack power.  Lasts 30 minutes.	25505	
Summons a Stoneskin Totem with $s1 health at the feet of the caster.  The totem protects party members within $25506a1 yards, reducing melee damage taken by $25506s1.  Lasts $d.	25508	
Summons a Stoneskin Totem with $s1 health at the feet of the caster.  The totem protects party members within $25507a1 yards, reducing melee damage taken by $25507s1.  Lasts $d.	25509	
Summons a Stoneclaw Totem with $s1 health at the feet of the caster for $d that taunts creatures within $25512a1 yards to attack it.  Enemies attacking the Stoneclaw Totem have a $25513h% chance to be stunned for $39796d.	25525	
Summons a Strength of Earth Totem with $s1 health at the feet of the caster.  The totem increases the strength of party members within $25527a1 yards by $25527s1.  Lasts $d.	25528	
Summons a Searing Totem with $s1 health at your feet for $d that repeatedly attacks an enemy within $25530r yards for $25530s1 Fire damage.	25533	
Summons a Fire Nova Totem that has $s1 health and lasts $d.  Unless it is destroyed within $25538t1 sec., the totem inflicts $25535s1 fire damage to enemies within $25535a1 yd.	25546	
Summons a Fire Nova Totem that has $s1 health and lasts $d.  Unless it is destroyed within $25539t1 sec., the totem inflicts $25537s1 fire damage to enemies within $25537a1 yd.	25547	
Summons a Magma Totem with $s1 health at the feet of the caster for ${$d-1} sec that causes $25550s1 Fire damage to creatures within $25550a1 yards every $25551t1 seconds.	25552	
Summons a Flametongue Totem that enchants all party members' main-hand weapons with fire if they are within $25554a1 yards.  Each hit causes $/77;25555m1 to $/25;25555M1 additional Fire damage.  Lasts $d.	25557	
Summons a Frost Resistance Totem with $s1 health at the feet of the caster for $d.  The totem increases party members' frost resistance by $25559s1, if within $25559a1 yards.	25560	
Summons a Fire Resistance Totem with $s1 health at the feet of the caster for $d that increases the fire resistance of party members within $25562a1 yards by $25562s1.	25563	
Summons a Healing Stream Totem with $s1 health at the feet of the caster for $d that heals group members within $25566a1 yards for $25566s1 every $25566t1 seconds.	25567	
Summons a Mana Spring Totem with $s1 health at the feet of the caster for $d that restores $25569s1 mana every $25569t1 seconds to group members within $25569a1 yards.	25570	
Summons a Nature Resistance Totem with $s1 health at the feet of the caster for $d that increases the nature resistance of party members within $25573a1 yards by $25573s1.	25574	
Summons a Windwall Totem with $s1 health at the feet of the caster.  The totem protects party members within $25576a1 yards, reducing ranged damage taken by $25576s1.  Lasts $d.	25577	
Summons a Windfury Totem with $s1 health at the feet of the caster.  The totem enchants all party members main-hand weapons with wind, if they are within $25579a1 yards.  Each hit has a 20% chance of granting the attacker $25583s2 extra $lattack:attacks; with $25583s1 extra attack power.  Lasts $d.	25585	
Summons a Windfury Totem with $s1 health at the feet of the caster.  The totem enchants all party members main-hand weapons with wind, if they are within $25580a1 yards.  Each hit has a 20% chance of granting the attacker $25584s2 extra $lattack:attacks; with $25584s1 extra attack power.  Lasts $d.	25587	
Increases the threat generated by your Holy spells by $s1%.  Lasts $d.	25780	
Gives all members of the raid or group that share the same class with the target the Greater Blessing of Might, increasing attack power by $s1 for $d.  Players may only have one Blessing on them per Paladin at any one time.	25782,25916,27141,48933,48934	
Right Click to summon and dismiss your Baby Shark   He really requires water.	25849	
Gives all members of the raid or group that share the same class with the target the Greater Blessing of Light, increasing the effects of Holy Light spells used on the target by up to $s1 and the effects of Flash of Light spells used on the target by up to $s2.  Lasts $d.  Players may only have one Blessing on them per Paladin at any one time.	25890	
Gives all members of the raid or group that share the same class with the target the Greater Blessing of Wisdom, restoring $s1 mana every 5 seconds for $d.  Players may only have one Blessing on them per Paladin at any one time.	25894,25918,27143,48937,48938	
Gives all members of the raid or group that share the same class with the target the Greater Blessing of Salvation, reducing the amount of all threat generated by $s1% for $d.  Players may only have one Blessing on them per Paladin at any one time.	25895	
Gives all members of the raid or group that share the same class with the target the Greater Blessing of Kings, increasing total stats by $s1% for $d.  Players may only have one Blessing on them per Paladin at any one time.	25898	
Gives all members of the raid or group that share the same class with the target the Greater Blessing of Sanctuary, reducing damage dealt from all sources by up to $s1 for $d.  In addition, when the target blocks a melee attack the attacker will take $s2 Holy damage.  Players may only have one Blessing on them per Paladin at any one time.	25899,27169	
Summons a Tranquil Air Totem with $s1 health at the feet of the caster.  The totem reduces the threat caused by all party members within $25909a1 yards by $25909s1%.  Lasts $d.	25908	
Emits a high frequency sound, forcing a silithid tank to burrow out from its home beneath the Temple of Ahn'Qiraj. The silithid is obedient to the summoner and can be used as a mount within the Temple of Ahn'Qiraj. Any hostile action towards the rider forces the tank underground. This mount increases speed depending on your Riding Skill.	25953,26054,26055,26056	
Decreases the cooldown of your Judgement spell by $/1000;s1 sec.	25956,25957	
All criticals against you cause a percentage of the damage taken to the attacker as well.  The damage caused by Eye for an Eye will not exceed 50% of the Paladin's total health.	25997	
Right Click to summon and dismiss your Tranquil Mechanical Yeti.	26010	
Gives the Paladin's damaging melee attacks a chance to reduce the target's attributes by $26017s1% for $26017d.	26016	
Gives the Paladin's damaging melee attacks a chance to reduce the target's attributes by $26018s1% for $26018d.	26021	
Reduces the chance you'll be hit by spells by $s3% and increases movement and mounted movement speed by $s1%.  This does not stack with other movement speed increasing effects.	26022,26023,44414	
Right Click to summon and dismiss your Tiny Snowman.  Requires a Snowball to summon.	26045	
Reduces all damage your pet takes by $s1%, but increases the time between your pet's attacks by $s2%.  Lasts $d.	26064	
Summons a mechanical Greench that will protect you for $d.	26067	
Shakes the ground with thundering force, doing $s1 Nature damage to all enemies within $a1 yards.  This ability causes a moderate amount of additional threat.	26090,26187,26188,27063,63900	
Clears all debuffs\n\n----- \n\nHow is this spell different from 25565?\nThis one is not self-only. How are you btw?	26368	
Summons a Vanquished Tentacle to your aid for $d.	26391	
Right Click to summon and dismiss your Winter Reindeer.  Requires a Snowball to summon.	26529	
Right Click to summon and dismiss your Father Winter's Helper.  Requires a Snowball to summon.	26533	
Right Click to summon and dismiss your helper. Requires a Snowball to summon.	26541	
Summons and dismisses a rideable Black Qiraji Battle Tank.  This mount increases speed depending on your Riding Skill.	26656	
Increases the rogue's dodge chance by $s1% and reduces the chance ranged attacks hit the rogue by $s2%.  Lasts $d.	26669	
Finishing move that reduces the movement of the target by $s2% for $d and causes increased thrown weapon damage:\n   1 point  : ${$m1+($b1*1)+$rwb} - ${$M1+($b1*1)+$RWB} damage\n   2 points: ${$m1+($b1*2)+$rwb} - ${$M1+($b1*2)+$RWB} damage\n   3 points: ${$m1+($b1*3)+$rwb} - ${$M1+($b1*3)+$RWB} damage\n   4 points: ${$m1+($b1*4)+$rwb} - ${$M1+($b1*4)+$RWB} damage\n   5 points: ${$m1+($b1*5)+$rwb} - ${$M1+($b1*5)+$RWB} damage	26679,48673,48674	
Conversion of these items into Primal Mooncloth can only be done at a moonwell.	26751	
Coats a weapon with poison that lasts for 1 hour.  Each strike has a $26785h% chance of poisoning the enemy which instantly inflicts $26688s1 Nature damage, but causes no additional threat.	26786	
Allows a tailor to make incomparable shirts and armors up to a maximum potential skill of 375.	26790	
Allows the tailor to create an additional spellcloth or spellweave when that cloth is created.	26797	
Allows the tailor to create an additional mooncloth or moonshroud when that cloth is created.	26798	
Allows the tailor to create an additional shadowcloth or ebonweave when that cloth is created.	26801	
Garrote the enemy, silencing them for $1330d and causing $o1 damage over $d, increased by attack power.  Must be stealthed and behind the target.  Awards $s2 combo $lpoint:points;.	26839	
Backstab the target, causing $s2% weapon damage plus 255 to the target.  Must be behind the target.  Requires a dagger in the main hand.  Awards $s3 combo $lpoint:points;.	26863	
Finishing move that causes damage over time, increased by your attack power.  Lasts longer per combo point:\n   1 point  : 324 damage over 8 secs\n   2 points: 460 damage over 10 secs\n   3 points: 618 damage over 12 secs\n   4 points: 798 damage over 14 secs\n   5 points: 1000 damage over 16 secs	26867	
Allows the rogue to vanish from sight, entering an improved stealth mode for $11329d.  Also breaks movement impairing effects.  More effective than Vanish (Rank 2).	26889	
Gives the Gift of the Wild to the target's party, increasing armor by $s1, all attributes by $s2 and all resistances by $s3 for $d.	26991	
Soothes the target beast, reducing the range at which it will attack you by $s1 yards.  Only affects Beast targets level 85 or lower.  Lasts $d.	26995	
