description_en	description_zh
Reduces the chance enemies have to detect you while Shadowmelded or Stealthed.	降低敌人在你影遁或潜行时发现你的几率。
Fills the Paladin with the spirit of a crusader for $d, granting $s1 melee attack power.  The Paladin also attacks $s2% faster, but deals less damage with each attack.  Only one Seal can be active on the Paladin at any one time.\n\nUnleashing this Seal's energy will judge an enemy for $21183d, increasing Holy damage taken by up to $21183s1.  Your melee strikes will refresh the spell's duration.  Only one Judgement per Paladin can be active at any one time.	使圣骑士充满十字军精神，持续$d，获得$s1点近战攻击强度。圣骑士的攻击速度提高$s2%，但每次攻击造成的伤害降低。同一时间只能激活一个圣印。\n\n释放此圣印的能量将审判敌人，持续$21183d，使其受到的神圣伤害最多提高$21183s1。你的近战攻击将刷新法术持续时间。同一时间每个圣骑士只能激活一个审判。
Decreases threat generated by $s1%.	造成的威胁值降低$s1%。
Power infuses your raid or party members, increasing their Stamina by $s1 for $d.	力量注入你的团队或队伍成员，使其耐力提高$s1，持续$d。
Gives the Gift of the Wild to all party and raid members, increasing armor by $s1, all attributes by $s2 and all resistances by $s3 for $d.	赋予所有队伍和团队成员野性赐福，护甲提高$s1，所有属性提高$s2，所有抗性提高$s3，持续$d。
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 50-66 damage\n   2 points: 86-102 damage\n   3 points: 122-138 damage\n   4 points: 158-174 damage\n   5 points: 194-210 damage	终结技，根据连击点造成伤害，并将每点额外能量转化为$f1点额外伤害。伤害受攻击强度加成。\n   1连击点：50-66伤害\n   2连击点：86-102伤害\n   3连击点：122-138伤害\n   4连击点：158-174伤害\n   5连击点：194-210伤害
Finishing move that causes damage and incapacitates the target.  Any directly damaging attack will revive the target.  Causes more damage and lasts longer per combo point:\n   1 point  : ${$b1*1+$m1+$mw}-${$b1*1+$M1+$MW} damage, 2 sec\n   2 points: ${$b1*2+$m1+$mw}-${$b1*2+$M1+$MW} damage, 3 sec\n   3 points: ${$b1*3+$m1+$mw}-${$b1*3+$M1+$MW} damage, 4 sec\n   4 points: ${$b1*4+$m1+$mw}-${$b1*4+$M1+$MW} damage, 5 sec\n   5 points: ${$b1*5+$m1+$mw}-${$b1*5+$M1+$MW} damage, 6 sec	终结技，造成伤害并使目标丧失行动能力。任何直接伤害攻击都会使目标苏醒。每个连击点造成更多伤害并持续更长时间：\n   1连击点：${$b1*1+$m1+$mw}-${$b1*1+$M1+$MW}伤害，2秒\n   2连击点：${$b1*2+$m1+$mw}-${$b1*2+$M1+$MW}伤害，3秒\n   3连击点：${$b1*3+$m1+$mw}-${$b1*3+$M1+$MW}伤害，4秒\n   4连击点：${$b1*4+$m1+$mw}-${$b1*4+$M1+$MW}伤害，5秒\n   5连击点：${$b1*5+$m1+$mw}-${$b1*5+$M1+$MW}伤害，6秒
The druid's skin becomes as tough as bark.  All damage taken is reduced by $s2%.  While protected, damaging attacks will not cause spellcasting delays.  This spell is usable while stunned, frozen, incapacitated, feared or asleep.  Lasts $d.	德鲁伊的皮肤变得如树皮般坚韧。受到的所有伤害降低$s2%。在保护期间，受到伤害不会导致施法延迟。此法术可在被击晕、冰冻、丧失行动能力、恐惧或睡眠时使用。持续$d。
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 79-103 damage\n   2 points: 138-162 damage\n   3 points: 197-221 damage\n   4 points: 256-280 damage\n   5 points: 315-339 damage	终结技，根据连击点造成伤害，并将每点额外能量转化为$f1点额外伤害。伤害受攻击强度加成。\n   1连击点：79-103伤害\n   2连击点：138-162伤害\n   3连击点：197-221伤害\n   4连击点：256-280伤害\n   5连击点：315-339伤害
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 122-162 damage\n   2 points: 214-254 damage\n   3 points: 306-346 damage\n   4 points: 398-438 damage\n   5 points: 490-530 damage	终结技，根据连击点造成伤害，并将每点额外能量转化为$f1点额外伤害。伤害受攻击强度加成。\n   1连击点：122-162伤害\n   2连击点：214-254伤害\n   3连击点：306-346伤害\n   4连击点：398-438伤害\n   5连击点：490-530伤害
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 173-223 damage\n   2 points: 301-351 damage\n   3 points: 429-479 damage\n   4 points: 557-607 damage\n   5 points: 685-735 damage	终结技，根据连击点造成伤害，并将每点额外能量转化为$f1点额外伤害。伤害受攻击强度加成。\n   1连击点：173-223伤害\n   2连击点：301-351伤害\n   3连击点：429-479伤害\n   4连击点：557-607伤害\n   5连击点：685-735伤害
Converts up to 10 rage per second into health for $d.  Each point of rage is converted into $s1 health.	在$d内每秒将最多10点怒气转化为生命值。每点怒气转化为$s1点生命值。
Infuses all party and raid members with brilliance, increasing their Intellect by $s1 for $d.	为所有队伍和团队成员注入智慧光辉，使其智力提高$s1，持续$d。
Increases movement speed by $s1% for $d.	移动速度提高$s1%，持续$d。
Causes an explosion of holy light around the caster, causing $15237s1 Holy damage to all enemy targets within $15237a1 yards and healing all party members within $23455a1 yards for $23455s1.  These effects cause no threat.	在施法者周围引发神圣之光爆炸，对$15237a1码范围内的所有敌方目标造成$15237s1点神圣伤害，并治疗$23455a1码范围内的所有队伍成员$23455s1点生命值。这些效果不产生威胁值。
Causes an explosion of holy light around the caster, causing $15430s1 Holy damage to all enemy targets within $15430a1 yards and healing all party members within $23458a1 yards for $23458s1.  These effects cause no threat.	在施法者周围引发神圣之光爆炸，对$15430a1码范围内的所有敌方目标造成$15430s1点神圣伤害，并治疗$23458a1码范围内的所有队伍成员$23458s1点生命值。这些效果不产生威胁值。
Causes an explosion of holy light around the caster, causing $15431s1 Holy damage to all enemy targets within $15431a1 yards and healing all party members within $23459a1 yards for $23459s1.  These effects cause no threat.	在施法者周围引发神圣之光爆炸，对$15431a1码范围内的所有敌方目标造成$15431s1点神圣伤害，并治疗$23459a1码范围内的所有队伍成员$23459s1点生命值。这些效果不产生威胁值。
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23759s1%.\n\nVoidwalker - Reduces physical damage taken by $23760s1%.\n\nSuccubus - Increases all damage caused by $23761s1%.\n\nFelhunter - Increases all resistances by .2 per level.\n\nFelguard - Increases all damage caused by $35702s1% and all resistances by .1 per level.	当召唤的恶魔处于激活状态时，同时赋予术士和恶魔一个效果。\n\n小鬼 - 造成的威胁值降低$23759s1%。\n\n虚空行者 - 受到的物理伤害降低$23760s1%。\n\n魅魔 - 造成的所有伤害提高$23761s1%。\n\n地狱猎犬 - 每级所有抗性提高0.2。\n\n恶魔卫士 - 造成的所有伤害提高$35702s1%，每级所有抗性提高0.1。
Creates 1-3 Vials of Powerful Anti-Venom.	制造1-3瓶强效解毒药水。
Summons a Stoneclaw Totem TEST.	召唤石爪图腾（测试）。
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23826s1%.\n\nVoidwalker - Reduces physical damage taken by $23841s1%.\n\nSuccubus - Increases all damage caused by $23833s1%.\n\nFelhunter - Increases all resistances by .4 per level.\n\nFelguard - Increases all damage caused by $35703s1% and all resistances by .2 per level.	当召唤的恶魔处于激活状态时，同时赋予术士和恶魔一个效果。\n\n小鬼 - 造成的威胁值降低$23826s1%。\n\n虚空行者 - 受到的物理伤害降低$23841s1%。\n\n魅魔 - 造成的所有伤害提高$23833s1%。\n\n地狱猎犬 - 每级所有抗性提高0.4。\n\n恶魔卫士 - 造成的所有伤害提高$35703s1%，每级所有抗性提高0.2。
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23827s1%.\n\nVoidwalker - Reduces physical damage taken by $23842s1%.\n\nSuccubus - Increases all damage caused by $23834s1%.\n\nFelhunter - Increases all resistances by .6 per level.\n\nFelguard - Increases all damage caused by $35704s1% and all resistances by .3 per level.	当召唤的恶魔处于激活状态时，同时赋予术士和恶魔一个效果。\n\n小鬼 - 造成的威胁值降低$23827s1%。\n\n虚空行者 - 受到的物理伤害降低$23842s1%。\n\n魅魔 - 造成的所有伤害提高$23834s1%。\n\n地狱猎犬 - 每级所有抗性提高0.6。\n\n恶魔卫士 - 造成的所有伤害提高$35704s1%，每级所有抗性提高0.3。
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23828s1%.\n\nVoidwalker - Reduces physical damage taken by $23843s1%.\n\nSuccubus - Increases all damage caused by $23835s1%.\n\nFelhunter - Increases all resistances by .8 per level.\n\nFelguard - Increases all damage caused by $35705s1% and all resistances by .4 per level.	当召唤的恶魔处于激活状态时，同时赋予术士和恶魔一个效果。\n\n小鬼 - 造成的威胁值降低$23828s1%。\n\n虚空行者 - 受到的物理伤害降低$23843s1%。\n\n魅魔 - 造成的所有伤害提高$23835s1%。\n\n地狱猎犬 - 每级所有抗性提高0.8。\n\n恶魔卫士 - 造成的所有伤害提高$35705s1%，每级所有抗性提高0.4。
Grants both the Warlock and the summoned demon an effect as long as that demon is active.\n\nImp - Reduces threat caused by $23829s1%.\n\nVoidwalker - Reduces physical damage taken by $23844s1%.\n\nSuccubus - Increases all damage caused by $23836s1%.\n\nFelhunter - Increases all resistances by 1 per level.\n\nFelguard - Increases all damage caused by $35706s1% and all resistances by .5 per level.	当召唤的恶魔处于激活状态时，同时赋予术士和恶魔一个效果。\n\n小鬼 - 造成的威胁值降低$23829s1%。\n\n虚空行者 - 受到的物理伤害降低$23844s1%。\n\n魅魔 - 造成的所有伤害提高$23836s1%。\n\n地狱猎犬 - 每级所有抗性提高1。\n\n恶魔卫士 - 造成的所有伤害提高$35706s1%，每级所有抗性提高0.5。
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $23885n successful melee attacks will restore $23880s1 health.  This effect lasts $23885d.  Damage is based on your attack power.	立即攻击目标造成${$AP*$m1/100}点伤害。此外，接下来$23885n次成功的近战攻击将恢复$23880s1点生命值。此效果持续$23885d。伤害基于你的攻击强度。
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $23886n successful melee attacks will restore $23889s1 health.  This effect lasts $23886d.  Damage is based on your attack power.	立即攻击目标造成${$AP*$m1/100}点伤害。此外，接下来$23886n次成功的近战攻击将恢复$23889s1点生命值。此效果持续$23886d。伤害基于你的攻击强度。
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $23887n successful melee attacks will restore $23890s1 health.  This effect lasts $23887d.  Damage is based on your attack power.	立即攻击目标造成${$AP*$m1/100}点伤害。此外，接下来$23887n次成功的近战攻击将恢复$23890s1点生命值。此效果持续$23887d。伤害基于你的攻击强度。
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $23888n successful melee attacks will restore $23891s1 health.  This effect lasts $23888d.  Damage is based on your attack power.	立即攻击目标造成${$AP*$m1/100}点伤害。此外，接下来$23888n次成功的近战攻击将恢复$23891s1点生命值。此效果持续$23888d。伤害基于你的攻击强度。
Raise your shield, reflecting the next spell cast on you.  Lasts $d.	举起你的盾牌，反射下一个对你施放的法术。持续$d。
Slam the target with your shield, causing $s2 damage, modified by your shield block value, and dispels $s1 magic effect on the target.  Also causes a high amount of threat to the target and threat based on your shield block value to enemies within $150086a1 yards.	用盾牌猛击目标，造成$s2点伤害（受盾牌格挡值加成），并驱散目标身上$s1个魔法效果。同时对目标产生大量威胁值，并对$150086a1码范围内的敌人产生基于盾牌格挡值的威胁值。
When activated, this ability immediately finishes the cooldown on your other Hunter abilities.	激活后，此技能立即重置你其他猎人技能的冷却时间。
A stinging shot that puts the target to sleep for $d.  Any damage will cancel the effect.  When the target wakes up, the Sting causes $24134o1 Nature damage over $24134d.  Only one Sting per Hunter can be active on the target at a time.	一记毒刺射击使目标昏睡$d。任何伤害都会取消此效果。当目标醒来时，毒刺在$24134d内造成$24134o1点自然伤害。每个猎人同一时间只能对目标施加一个毒刺。
A stinging shot that puts the target to sleep for $d.  Any damage will cancel the effect.  When the target wakes up, the Sting causes $24135o1 Nature damage over $24135d.  Only one Sting per Hunter can be active on the target at a time.	一记毒刺射击使目标昏睡$d。任何伤害都会取消此效果。当目标醒来时，毒刺在$24135d内造成$24135o1点自然伤害。每个猎人同一时间只能对目标施加一个毒刺。
Increases the damage from your Ambush and Garrote abilities by $s1% and gives you a $s2% chance to notice when players see through your Stealth.	你的伏击和绞喉技能伤害提高$s1%，并使你有$s2%的几率察觉到玩家看穿了你的潜行。
Hurls a hammer that strikes an enemy for $s1 Holy damage.  Only usable on enemies that have 20% or less health.	投掷一把锤子打击敌人，造成$s1点神圣伤害。只能对生命值低于20%的敌人使用。
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 259-292 damage\n   2 points: 428-461 damage\n   3 points: 597-630 damage\n   4 points: 766-799 damage\n   5 points: 935-968 damage	终结技，根据连击点造成伤害，并将每点额外能量转化为$f1点额外伤害。伤害受攻击强度加成。\n   1连击点：259-292伤害\n   2连击点：428-461伤害\n   3连击点：597-630伤害\n   4连击点：766-799伤害\n   5连击点：935-968伤害
Increases all damage caused against Beasts, Giants and Dragonkin targets by $s1% and increases critical damage caused against Beasts, Giants and Dragonkin targets by an additional $s2%.	对野兽、巨人和龙类目标造成的所有伤害提高$s1%，对野兽、巨人和龙类目标造成的暴击伤害额外提高$s2%。
Command your pet to intimidate the target, causing a high amount of threat and stunning the target for $24394d. Lasts $19577d.	命令你的宠物威慑目标，产生大量威胁值并使目标昏迷$24394d。持续$19577d。
The caster is surrounded by $n globes of water, granting $s2 mana per 5 sec.  When a spell, melee or ranged attack hits the caster, $23575s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$n个水球环绕，每5秒恢复$s2点法力值。当法术、近战或远程攻击命中施法者时，为施法者恢复$23575s1点法力值。这会消耗一个水球。每隔几秒只能激活一个水球。持续$d。同一时间萨满只能激活一个元素护盾。
Reduces the mana cost of your Mend Pet spell and gives the Mend Pet spell a chance of cleansing $24406s1 Curse, Disease, Magic or Poison effect from the pet each tick.	降低你的治疗宠物法术的法力消耗，并使治疗宠物每次跳动时有几率清除宠物身上$24406s1个诅咒、疾病、魔法或中毒效果。
Blasts a single enemy for $s1 damage and lowers the melee attack power of all enemies in melee range by $s2.  Effect lasts $d.	冲击单个敌人造成$s1点伤害，并使近战范围内所有敌人的近战攻击强度降低$s2。效果持续$d。
Puts your pet in stealth mode, but slows its movement speed by $s2%. The first attack from stealth receives a $s3% bonus to damage.  Lasts until cancelled.	使你的宠物进入潜行模式，但移动速度降低$s2%。从潜行中发起的第一次攻击获得$s3%的伤害加成。持续到取消为止。
Inflicts $o2 Nature damage over $d. Effect can stack up to 5 times on a single target.	在$d内造成$o2点自然伤害。效果可在单个目标上叠加最多5次。
Party members within $a1 yards of the wolf receive an extra $s1 damage to their next Physical attack.  Lasts $d.	狼$a1码范围内的队伍成员的下一次物理攻击获得额外$s1点伤害。持续$d。
Right Click to summon and dismiss Murky the baby murloc.	右键点击召唤或解散小鱼人莫奇。
Breathes lightning, instantly dealing $s1 Nature damage to a single target.	吐息闪电，立即对单个目标造成$s1点自然伤害。
Shapeshift into Moonkin Form.  While in this form the armor contribution from items is increased by $24905s1%, attack power is increased by 150% of your level, all party and raid members within $24907a1 yards have their spell critical chance increased by $24907s1%, and your spell critical strike chance is increased by an additional 3%.  Melee attacks in this form have a chance on hit to regenerate mana based on attack power, and receiving damage has a chance to enrage you.  The Moonkin can only cast Balance and non-healing Restoration spells.\n\nThe act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.	变形为枭兽形态。在此形态下，来自物品的护甲值提高$24905s1%，攻击强度提高等同于你等级150%的数值，$24907a1码范围内的所有队伍和团队成员法术暴击几率提高$24907s1%，你的法术暴击几率额外提高3%。此形态下的近战攻击命中时有几率根据攻击强度恢复法力值，受到伤害时有几率激怒。枭兽只能施放平衡和非治疗类恢复法术。\n\n变形会解除施法者身上的变形和移动限制效果。
Increases your movement speed by $24864s1% while outdoors in Cat Form and increases your chance to dodge while in Cat Form, Bear Form and Dire Bear Form by $s2%.	在户外猎豹形态下移动速度提高$24864s1%，在猎豹形态、熊形态和巨熊形态下躲闪几率提高$s2%。
Increases spell critical chance by $s1%.	法术暴击几率提高$s1%。
Reduces the mana cost of your Healing Touch and Tranquility spells by $s1%.	你的治疗之触和宁静法术的法力消耗降低$s1%。
Right Click to summon and dismiss Lurky the baby murloc.	右键点击召唤或解散小鱼人拉奇。
10 mana per second.\nAutomatically fires a shot at the nearest enemy tonk within $25032a1 yards every $t1 sec, dealing $25032s1 damage per shot.	每秒消耗10点法力值。\n每$t1秒自动向$25032a1码范围内最近的敌方坦克发射一枪，每枪造成$25032s1点伤害。
10 mana per second.\nDeals $25029s1 damage every $t1 sec to all tonks in front of you within $25029a1 yards. Also slows movement to $25029s2% and deals $25029s3 damage per second for $25029d.	每秒消耗10点法力值。\n每$t1秒对你前方$25029a1码范围内的所有坦克造成$25029s1点伤害。同时将移动速度降低至$25029s2%，并在$25029d内每秒造成$25029s3点伤害。
Silence all enemies within $a1 yards for $d and restores $s2 of your Energy.  Non-player victim spellcasting is also interrupted for $32747d.	沉默$a1码范围内的所有敌人，持续$d，并恢复你$s2点能量。非玩家受害者的施法也会被打断$32747d。
Creates Minor Wizard Oil.	制造初级巫师油。
Creates Minor Mana Oil.	制造初级法力油。
Creates Lesser Wizard Oil.	制造次级巫师油。
Creates Lesser Mana Oil.	制造次级法力油。
Creates Wizard Oil.	制造巫师油。
Creates Brilliant Wizard Oil.	制造卓越巫师油。
Creates Brilliant Mana Oil.	制造卓越法力油。
Transmutes a Heart of Fire into three Elemental Fires.	将一颗火之心转化为三个元素之火。
Maims the enemy, causing $s1 damage and slowing the enemy's movement to $s2% of normal speed for $d.	残害敌人，造成$s1点伤害并使敌人的移动速度降低至正常速度的$s2%，持续$d。
Allows a jewelcrafter to make jewelry, up to to a maximum potential skill of 75.  Requires precious gems and metals gathered with the Mining skill.	允许珠宝匠制作珠宝，最高可达技能75。需要通过采矿技能采集的宝石和金属。
Allows a jewelcrafter to make fantastic jewelry, up to a maximum potential skill of 150.	允许珠宝匠制作精美珠宝，最高可达技能150。
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $25252n successful melee attacks will restore $25253s1 health.  This effect lasts $25252d.  Damage is based on your attack power.	立即攻击目标造成${$AP*$m1/100}点伤害。此外，接下来$25252n次成功的近战攻击将恢复$25253s1点生命值。此效果持续$25252d。伤害基于你的攻击强度。
Charge an enemy, causing $25273s2 damage and stunning it for $25273d.	冲锋向敌人，造成$25273s2点伤害并使其昏迷$25273d。
Charge an enemy, causing $25274s2 damage and stunning it for $25274d.	冲锋向敌人，造成$25274s2点伤害并使其昏迷$25274d。
Backstab the target, causing $s2% weapon damage plus 225 to the target.  Must be behind the target.  Requires a dagger in the main hand.  Awards $s3 combo $lpoint:points;.	背刺目标，造成$s2%的武器伤害加225点伤害。必须在目标背后。需要主手装备匕首。获得$s3个连击$l点:点;。
Holy power infuses the target, increasing their Spirit by $M1 for $d.	神圣之力注入目标，使其精神提高$M1，持续$d。
Causes an explosion of holy light around the caster, causing $25331s1 Holy damage to all enemy targets within $25331a1 yards and healing all party members within $25329a1 yards for $25329s1.  These effects cause no threat.	在施法者周围引发神圣之光爆炸，对$25331a1码范围内的所有敌方目标造成$25331s1点神圣伤害，并治疗$25329a1码范围内的所有队伍成员$25329s1点生命值。这些效果不产生威胁值。
Causes an explosion of holy light around the caster, causing $s1 Holy damage to all enemy targets within $a1 yards and healing all party members within $25329a1 yards for $25329s1.  These effects cause no threat.	在施法者周围引发神圣之光爆炸，对$a1码范围内的所有敌方目标造成$s1点神圣伤害，并治疗$25329a1码范围内的所有队伍成员$25329s1点生命值。这些效果不产生威胁值。
Launches Arcane Missiles at the enemy, causing $25346s1 Arcane damage every $t2 sec for $d.	向敌人发射奥术飞弹，每$t2秒造成$25346s1点奥术伤害，持续$d。
Launches Arcane Missiles at the enemy, causing $25346s1 Arcane damage every $25345t2 sec for $25345d.	向敌人发射奥术飞弹，每$25345t2秒造成$25346s1点奥术伤害，持续$25345d。
Coats a weapon with poison that lasts for 1 hour.\nEach strike has a 30% chance of poisoning the enemy for ${$25349m1*4+0.12*$AP} Nature damage over $25349d.  Stacks up to 5 times on a single target.	在武器上涂抹持续1小时的毒药。\n每次攻击有30%的几率使敌人在$25349d内中毒，造成${$25349m1*4+0.12*$AP}点自然伤害。可在单个目标上叠加最多5次。
Summons a Grace of Air Totem with $s1 health at the feet of the caster.  The totem increases the agility of party and raid members within $25360a1 yards by $25360s1.  Lasts $d.	在施法者脚下召唤一个拥有$s1点生命值的风之优雅图腾。图腾使$25360a1码范围内的队伍和团队成员敏捷提高$25360s1。持续$d。
Summons a Strength of Earth Totem with $s1 health at the feet of the caster.  The totem increases the strength of party and raid members within $25362a1 yards by $25362s1.  Lasts $d.	在施法者脚下召唤一个拥有$s1点生命值的大地之力图腾。图腾使$25362a1码范围内的队伍和团队成员力量提高$25362s1。持续$d。
Assault the target's mind with Shadow energy, causing $o1 Shadow damage over $d and slowing the target to $s2% of their movement speed.	用暗影能量攻击目标的心灵，在$d内造成$o1点暗影伤害，并使目标的移动速度降低至$s2%。
Power infuses the target increasing their Stamina by $s1 for $d.	力量注入目标，使其耐力提高$s1，持续$d。
Power infuses the target's party, increasing their Stamina by $s1 for $d.	力量注入目标的队伍，使其耐力提高$s1，持续$d。
The priest becomes surrounded with anti-magic energy.  Any successful spell cast against the priest will burn $25440s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned.  Lasts $d.	牧师被反魔法能量环绕。任何成功对牧师施放的法术将燃烧攻击者$25440s1点法力值，每燃烧1点法力值造成1点暗影伤害。持续$d。
Instantly shocks the target with frost, causing $s2 Frost damage and slowing movement speed to $s1% of normal.  Lasts $d.  Causes a high amount of threat.	立即用冰霜冲击目标，造成$s2点冰霜伤害并使移动速度降低至正常的$s1%。持续$d。产生大量威胁值。
The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26371s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$n个闪电球环绕。当法术、近战或远程攻击命中施法者时，攻击者将受到$26371s1点自然伤害。这会消耗一个闪电球。每隔几秒只能发射一个闪电球。持续$d。同一时间萨满只能激活一个元素护盾。
The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26372s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$n个闪电球环绕。当法术、近战或远程攻击命中施法者时，攻击者将受到$26372s1点自然伤害。这会消耗一个闪电球。每隔几秒只能发射一个闪电球。持续$d。同一时间萨满只能激活一个元素护盾。
Imbue the Shaman's weapon with fire.  Each hit causes $/77;25488m1 to $/25;25488M1 additional Fire damage, based on the speed of the weapon.  Slower weapons cause more fire damage per swing.  Lasts 30 minutes.	为萨满的武器注入火焰。每次命中根据武器速度造成$/77;25488m1到$/25;25488M1点额外火焰伤害。较慢的武器每次挥击造成更多火焰伤害。持续30分钟。
Imbue the Shaman's weapon with frost.  Each hit has a chance of causing $25501s2 additional Frost damage and slowing the target's movement speed by $25501s1% for $25501d.  Lasts 30 minutes.	为萨满的武器注入冰霜。每次命中有几率造成$25501s2点额外冰霜伤害，并使目标的移动速度降低$25501s1%，持续$25501d。持续30分钟。
Imbue the Shaman's weapon with wind.  Each hit has a 36% chance of dealing additional damage equal to two extra attacks with $33727s1 extra attack power.  Lasts 30 minutes.	为萨满的武器注入风之力。每次命中有36%的几率造成等同于两次额外攻击的伤害，附带$33727s1点额外攻击强度。持续30分钟。
Summons a Stoneskin Totem with $s1 health at the feet of the caster.  The totem protects party members within $25506a1 yards, reducing melee damage taken by $25506s1.  Lasts $d.	在施法者脚下召唤一个拥有$s1点生命值的石肤图腾。图腾保护$25506a1码范围内的队伍成员，使其受到的近战伤害降低$25506s1。持续$d。
